ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	7.837752164406603	7.837752164406603	7.837752164406603	7.837752164406603
1	6.614593488379222	6.560399606230599	7.339178895740468	8.117958185250355
2	6.396665690049897	5.062516598647528	6.71982594145085	8.201429733899358
3	6.38807506621902	3.7508462779814296	6.2474587841037685	8.24957661217817
4	6.400675677560815	2.6326399528277693	5.864023148861527	8.275097767903404
5	6.342148996007913	1.6192328474674775	5.56546403444027	8.295672736942832
6	6.175990029762587	0.7988582900564734	5.329217931222825	8.311156981518783
7	6.133545929043016	0.07300425819804765	5.133509995797016	8.322983134507583
8	6.230716443841498	-0.3227575411479102	5.062056389804436	8.332271115935525
9	6.277702272174416	-0.5292790935452022	5.072434815733542	8.341005324689334
10	6.168252650678864	-0.5493929461138294	5.135550850379249	8.349733068812379
11	6.039309213894993	-0.3034458533761877	5.240721393579363	8.35670093910185
12	6.277591500985775	0.07565260078121669	5.430665379023944	8.362649663103369
13	6.241044214326166	0.4980285624040867	5.613149362572949	8.368097326844403
14	6.126361029995801	0.8549968306481046	5.781555421754061	8.372335810822321
15	6.357729147621366	1.491978029206051	6.012995763617804	8.376464359700801
16	6.284805861012616	1.9013676252993637	6.194696050514555	8.381193101637237
17	6.28263086446707	2.3069357854991748	6.375485130728516	8.386774896562663
18	6.253725214219726	2.866107514540353	6.558120494205536	8.391461177687704
19	6.224591054132837	3.131106391192491	6.702307889348668	8.394949130065482
20	6.39906037483451	3.6400976957408537	6.877948235648133	8.400847972107304
21	6.4312758758295985	4.009642318408785	7.015681555936341	8.405684976684308
22	6.378628581837371	4.268746207966033	7.128251781556085	8.41025110819248
23	6.414705716752147	4.581340179955746	7.241905353424497	8.413968339023642
24	6.398683566916293	4.797846815393609	7.330134635035174	8.417796750429991
25	6.486311821194848	5.085754747446893	7.4274249431025225	8.421638566860917
26	6.4171142806195745	5.228004859555078	7.48699495168301	8.425384880576628
27	6.543559516707257	5.456772285873088	7.569278827214977	8.429043025731472
28	6.573056013874452	5.6265473833762645	7.631635736102556	8.432337737009803
29	6.504513587916813	5.6730143430447315	7.6666625367629795	8.435373115968453
30	6.606698237598379	5.858233266945822	7.724632493744634	8.439001198229915
31	6.6129884584290295	5.957992754294696	7.758729940733888	8.441953350277519
32	6.558925115697102	5.967008125659363	7.776812616140096	8.44461141812431
33	6.575247997222366	6.054531212691804	7.804270702510361	8.445537129281032
34	6.588016983367516	6.084190613492957	7.826808911073305	8.449656270848255
35	6.688454794152983	6.246429410933478	7.8673943210985025	8.452254139666943
36	6.619511983118198	6.210121627023275	7.87394864722959	8.454897612852596
37	6.513362140631763	6.146757795206712	7.873119412528877	8.457742926600625
38	6.658338785031842	6.318881645524231	7.911697649085636	8.457822182218338
39	6.667788047484769	6.35359471608744	7.924864340865209	8.45880559717996
40	6.611308048236889	6.299311551305885	7.926368073844062	8.461857331708428
41	6.56019749685753	6.283336202398939	7.931031925985362	8.463659022324777
42	6.668730038154016	6.409665578016335	7.959566541112478	8.465306130779183
43	6.560966028985288	6.308083273574451	7.949505600956501	8.466595633841427
44	6.670472890801588	6.444232054730848	7.977119443116282	8.467708263581393
45	6.640785387470636	6.431383545417927	7.978826563954722	8.466688403862564
46	6.770606338024631	6.562977225644484	8.005180373537598	8.46696845467544
47	6.699110923570204	6.5087801804898975	7.998001648194658	8.464724281851673
48	6.681271246261697	6.493826866796427	7.99741883770735	8.462954482824724
49	6.713325553344176	6.526690948466949	8.005850798328211	8.461971951896608
50	6.722611681310519	6.546021458679911	8.01163022807481	8.460654522405818
51	6.586281123101132	6.414788678785302	7.991846491302982	8.460059010454835
